Datetime,AUDCHF=X,AUDEUR=X,AUDGBP=X,AUDJPY=X,AUDUSD=X,CHFAUD=X,CHFEUR=X,CHFGBP=X,CHFJPY=X,CHFUSD=X,EURAUD=X,EURCHF=X,EURGBP=X,EURJPY=X,EURUSD=X,GBPAUD=X,GBPCHF=X,GBPEUR=X,GBPJPY=X,GBPUSD=X,JPYAUD=X,JPYCHF=X,JPYEUR=X,JPYGBP=X,JPYUSD=X,USDAUD=X,USDCHF=X,USDEUR=X,USDGBP=X,USDJPY=X
2025-04-10 23:23:00+00:00,0.5118100047111511,0.5537700057029724,0.4790399968624115,89.59500122070312,0.6220065951347351,1.9518300294876099,1.0820000171661377,0.9358000159263611,175.03700256347656,1.2147716283798218,1.8044400215148926,0.9236699938774109,0.8649299740791321,161.697998046875,1.1224603652954102,2.086090087890625,1.0678999423980713,1.1559300422668457,186.9340057373047,1.2973365783691406,0.01115499995648861,0.005708000157028437,0.006183800287544727,0.005344000179320574,0.006939288228750229,1.607699990272522,0.823199987411499,0.8909000158309937,0.7708100080490112,144.10699462890625
2025-04-10 23:53:00+00:00,0.5108799934387207,0.5525000095367432,0.478630006313324,89.44999694824219,0.6224712133407593,1.9560699462890625,1.0816999673843384,0.9369999766349792,175.0679931640625,1.218145489692688,1.8082900047302246,0.9238499999046326,0.8660600185394287,161.76199340820312,1.1257457733154297,2.0876200199127197,1.0666799545288086,1.1540900468826294,186.76100158691406,1.2993931770324707,0.011172999627888203,0.005705999676138163,0.006179599557071924,0.005348000209778547,0.006957393139600754,1.6065000295639038,0.8209199905395508,0.8883000016212463,0.7695900201797485,143.73199462890625
2025-04-11 00:23:00+00:00,0.5092899799346924,0.5509499907493591,0.4776799976825714,88.98400115966797,0.6218905448913574,1.962280035018921,1.0821000337600708,0.9380999803543091,174.7100067138672,1.2205541133880615,1.8139100074768066,0.9238700270652771,0.8670099973678589,161.4250030517578,1.128031611442566,2.091789960861206,1.0654799938201904,1.1529799699783325,186.16700744628906,1.3007960319519043,0.01123099960386753,0.005716999992728233,0.006193799898028374,0.005365000106394291,0.006985972169786692,1.6080000400543213,0.8192999958992004,0.8865000009536743,0.7687600255012512,143.1439971923828
2025-04-11 00:53:00+00:00,0.5081200003623962,0.5488799810409546,0.4767400026321411,89.04199981689453,0.621357262134552,1.9664100408554077,1.0801000595092773,0.9383999705314636,175.2209930419922,1.2224490642547607,1.8208400011062622,0.9251999855041504,0.8688300251960754,162.13600158691406,1.1310937404632568,2.095439910888672,1.064810037612915,1.1509499549865723,186.5959930419922,1.3015409708023071,0.011226000264286995,0.005702999886125326,0.006167599931359291,0.00535399978980422,0.0069757383316755295,1.6093800067901611,0.8180299997329712,0.8841000199317932,0.7683200240135193,143.35400390625
2025-04-11 01:23:00+00:00,0.510699987411499,0.5510200262069702,0.4784199893474579,89.41100311279297,0.6228899359703064,1.9562599658966064,1.0785000324249268,0.9365000128746033,175.052001953125,1.2192147970199585,1.8137400150299072,0.926360011100769,0.8683199882507324,162.17999267578125,1.1301988363265991,2.088589906692505,1.0667699575424194,1.1515100002288818,186.76499938964844,1.301100730895996,0.011175000108778477,0.0057069999165833,0.006162999663501978,0.00534699996933341,0.006963884923607111,1.6054199934005737,0.8202000260353088,0.8848000168800354,0.7685800194740295,143.59800720214844
2025-04-11 01:53:00+00:00,0.5119699835777283,0.5518900156021118,0.4792400002479553,89.56300354003906,0.6238069534301758,1.9514100551605225,1.0779000520706177,0.9359999895095825,174.89700317382812,1.217893362045288,1.8108799457550049,0.9272400140762329,0.868369996547699,162.1959991455078,1.1295605897903442,2.0851199626922607,1.0677399635314941,1.1513500213623047,186.77099609375,1.3003901243209839,0.011164000257849693,0.005713000427931547,0.006165999919176102,0.005350000225007534,0.006962527520954609,1.603060007095337,0.8210899829864502,0.8852999806404114,0.7689999938011169,143.62600708007812
2025-04-11 02:23:00+00:00,0.5119199752807617,0.5519899725914001,0.47944000363349915,89.5790023803711,0.6246876120567322,1.9518300294876099,1.0779999494552612,0.9368000030517578,174.9530029296875,1.2199734449386597,1.810539960861206,0.9269400238990784,0.8689200282096863,162.20799255371094,1.1316057443618774,2.083669900894165,1.0667699575424194,1.1504700183868408,186.677001953125,1.301676630973816,0.01116199977695942,0.005710999947041273,0.006163999903947115,0.0053530000150203705,0.006971701979637146,1.6008000373840332,0.8196899890899658,0.8837000131607056,0.7682399749755859,143.43699645996094
2025-04-11 02:53:00+00:00,0.512969970703125,0.5525799989700317,0.4797700047492981,89.76699829101562,0.6251953840255737,1.9471900463104248,1.0770000219345093,0.9352999925613403,174.9530029296875,1.2179675102233887,1.8086800575256348,0.9279900193214417,0.8684499859809875,162.37399291992188,1.1307101249694824,2.0824201107025146,1.0685100555419922,1.1512000560760498,186.9550018310547,1.3015241622924805,0.011133000254631042,0.005710999947041273,0.006158400326967239,0.005344000179320574,0.006960685830563307,1.5994999408721924,0.8210399746894836,0.8844000101089478,0.7683299779891968,143.66400146484375
2025-04-11 03:23:00+00:00,0.5118600130081177,0.5515000224113464,0.4791400134563446,89.60399627685547,0.6252070665359497,1.9521700143814087,1.0774999856948853,0.9362000226974487,174.98899841308594,1.2207776308059692,1.812019944190979,0.9276900291442871,0.868690013885498,162.36199951171875,1.13275945186615,2.0856199264526367,1.0677399635314941,1.1507799625396729,186.88400268554688,1.3034580945968628,0.011156000196933746,0.005708000157028437,0.006158499512821436,0.0053460001945495605,0.006974765565246344,1.5994700193405151,0.8191499710083008,0.8827999830245972,0.7671899795532227,143.37399291992188
2025-04-11 03:53:00+00:00,0.5106099843978882,0.5501499772071838,0.4773100018501282,89.46800231933594,0.6250781416893005,1.9566800594329834,1.0772000551223755,0.9373999834060669,175.17999267578125,1.2235708236694336,1.8166799545288086,0.927869975566864,0.8702700138092041,162.552001953125,1.135589361190796,2.0872199535369873,1.0659799575805664,1.1488200426101685,186.75999450683594,1.30451238155365,0.011171000078320503,0.005702999886125326,0.0061511998064816,0.005348999984562397,0.006983825471252203,1.5997999906539917,0.8172799944877625,0.8805999755859375,0.766569972038269,143.18800354003906
2025-04-11 04:23:00+00:00,0.5100200176239014,0.549589991569519,0.47773000597953796,89.12200164794922,0.6225875020027161,1.9587500095367432,1.0774999856948853,0.9366000294685364,174.7209930419922,1.2198543548583984,1.8182200193405151,0.9275199770927429,0.8691200017929077,162.0659942626953,1.1319899559020996,2.0918099880218506,1.0670100450515747,1.15038001537323,186.447998046875,1.3018460273742676,0.011211000382900238,0.005717999767512083,0.0061681997030973434,0.005357999820262194,0.006981144193559885,1.6061999797821045,0.8197699785232544,0.883400022983551,0.7681400179862976,143.2429962158203
2025-04-11 04:53:00+00:00,0.5071700215339661,0.5473600029945374,0.47597000002861023,88.5989990234375,0.6205013394355774,1.9696999788284302,1.0791000127792358,0.9383000135421753,174.65199279785156,1.2223145961761475,1.8260300159454346,0.9262400269508362,0.8695999979972839,161.79800415039062,1.132502794265747,2.099519968032837,1.0650800466537476,1.1496700048446655,186.03599548339844,1.3019646406173706,0.011273999698460102,0.005723999813199043,0.006179300136864185,0.005369000136852264,0.00699770450592041,1.6116000413894653,0.818120002746582,0.8830000162124634,0.7680699825286865,142.9040069580078
2025-04-11 05:23:00+00:00,0.5083000063896179,0.5481399893760681,0.47523000836372375,88.77200317382812,0.6200012564659119,1.9654500484466553,1.0784000158309937,0.9366000294685364,174.62399291992188,1.2192891836166382,1.823009967803955,0.926829993724823,0.8683500289916992,161.86900329589844,1.1307101249694824,2.099169969558716,1.0672399997711182,1.1514300107955933,186.39700317382812,1.3015409708023071,0.011265000328421593,0.00572500005364418,0.006178600247949362,0.005361999850720167,0.006981533952057362,1.6129000186920166,0.8201500177383423,0.8844000101089478,0.7683200240135193,143.23500061035156
2025-04-11 05:53:00+00:00,0.5094799995422363,0.5492200255393982,0.47661998867988586,89.072998046875,0.6202704310417175,1.9611300230026245,1.0782999992370605,0.9354000091552734,174.83399963378906,1.2168854475021362,1.8194500207901,0.9270600080490112,0.8677200078964233,162.08599853515625,1.1281588077545166,2.0966999530792236,1.0683200359344482,1.1522899866104126,186.78599548339844,1.2999675273895264,0.011215000413358212,0.005717999767512083,0.006168399937450886,0.00534699996933341,0.006959813646972179,1.6122000217437744,0.8217700123786926,0.8863999843597412,0.7692499756813049,143.6820068359375
2025-04-11 06:23:00+00:00,0.5112599730491638,0.550059974193573,0.47703999280929565,89.24199676513672,0.6204628348350525,1.9544999599456787,1.0758999586105347,0.932699978351593,174.52999877929688,1.2130475044250488,1.816640019416809,0.928849995136261,0.8670099973678589,162.13600158691406,1.1271415948867798,2.0951099395751953,1.0712699890136719,1.1532399654388428,186.99600219726562,1.2996464967727661,0.01119800005108118,0.005727999843657017,0.006166200153529644,0.005342000164091587,0.006949318572878838,1.6117000579833984,0.8243700265884399,0.8871999979019165,0.7694399952888489,143.8990020751953
2025-04-11 06:53:00+00:00,0.5108399987220764,0.5504000186920166,0.47699999809265137,89.40299987792969,0.6211951971054077,1.9572999477386475,1.0773999691009521,0.9341999888420105,174.98800659179688,1.2159533500671387,1.8158700466156006,0.9276999831199646,0.8670899868011475,162.36399841308594,1.1281588077545166,2.0939600467681885,1.0698299407958984,1.1526999473571777,187.23699951171875,1.3006945848464966,0.011183000169694424,0.005713000427931547,0.006159199867397547,0.0053369998931884766,0.006947677116841078,1.6097999811172485,0.8223999738693237,0.8863999843597412,0.7688199877738953,143.93299865722656
2025-04-11 07:23:00+00:00,0.5076199769973755,0.5476999878883362,0.4758000075817108,88.95899963378906,0.6214654445648193,1.9696999788284302,1.0788999795913696,0.9379000067710876,175.21600341796875,1.2239153385162354,1.8245999813079834,0.9264000058174133,0.8692799806594849,162.33399963378906,1.1343011856079102,2.0988500118255615,1.065659999847412,1.1497999429702759,186.7270050048828,1.3043931722640991,0.011235999874770641,0.0057069999165833,0.006158300209790468,0.005348999984562397,0.006984459236264229,1.6090999841690063,0.8170499801635742,0.881600022315979,0.7666400074958801,143.1750030517578
2025-04-11 07:53:00+00:00,0.5089100003242493,0.5479999780654907,0.4758000075817108,88.99099731445312,0.6225486993789673,1.9638999700546265,1.076200008392334,0.9351999759674072,174.85299682617188,1.2228825092315674,1.8246400356292725,0.9287099838256836,0.8688200116157532,162.3979949951172,1.1358473300933838,2.099910020828247,1.0687600374221802,1.1503000259399414,186.89999389648438,1.3066941499710083,0.011231999844312668,0.005714999977499247,0.006158400326967239,0.00534699996933341,0.0069933002814650536,1.6062999963760376,0.8177400231361389,0.8804000020027161,0.7652900218963623,142.99400329589844
2025-04-11 08:23:00+00:00,0.5060999989509583,0.5457000136375427,0.4747999906539917,88.56600189208984,0.6208866238594055,1.9752000570297241,1.0779999494552612,0.9386000037193298,174.968994140625,1.2263919115066528,1.8310999870300293,0.9269000291824341,0.8704900145530701,162.19500732421875,1.1373976469039917,2.10332989692688,1.0646699666976929,1.1478999853134155,186.30799865722656,1.3058068752288818,0.011278999969363213,0.00571399973705411,0.006159499753266573,0.005359000060707331,0.0070084938779473305,1.6105999946594238,0.8154000043869019,0.8791999816894531,0.7658100128173828,142.6840057373047
2025-04-11 08:53:00+00:00,0.5046799778938293,0.5430999994277954,0.47350001335144043,88.43299865722656,0.6220452785491943,1.9807000160217285,1.0757999420166016,0.9384999871253967,175.20399475097656,1.2320277690887451,1.840499997138977,0.9290099740028381,0.8723000288009644,162.7779998779297,1.145081877708435,2.109839916229248,1.0649299621582031,1.1456999778747559,186.60899353027344,1.3121120929718018,0.01130400039255619,0.005708000157028437,0.0061427997425198555,0.005355000030249357,0.007030815817415714,1.6075999736785889,0.8116700053215027,0.8733000159263611,0.7621300220489502,142.2310028076172
